Dataset,Algorithm,Run_ID,Best_Fitness,Info_Loss,Accuracy_Original,Accuracy_After,Execution_Time_s,K_Violations,L_Violations,Iterations,Success,Solution_Vector
cmc,ARO-APO,11,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,175.00254344940186,0,0,8,1,"[2, 2, 2]"
cmc,ARO-APO,17,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,116.69317746162416,0,0,2,1,"[2, 2, 2]"
cmc,ARO-APO,19,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,98.89585494995116,0,0,1,1,"[2, 2, 2]"
cmc,ARO-APO,21,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,97.06560397148132,0,0,1,1,"[2, 2, 2]"
cmc,ARO-APO,22,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,97.35069227218628,0,0,1,1,"[2, 2, 2]"
cmc,ARO-APO,23,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,97.2153778076172,0,0,1,1,"[2, 2, 2]"
cmc,ARO-APO,24,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,96.8656883239746,0,0,1,1,"[2, 2, 2]"
cmc,ARO-APO,20,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,133.3010115623474,0,0,4,1,"[2, 2, 2]"
cmc,ARO-APO,25,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,96.92043542861938,0,0,1,1,"[2, 2, 2]"
cmc,ARO-APO,18,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,156.2723536491394,0,0,7,1,"[2, 2, 2]"
cmc,GA,1,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,45.741244077682495,0,0,1,1,"[2, 2, 2]"
cmc,GA,2,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,45.31280064582825,0,0,1,1,"[2, 2, 2]"
cmc,GA,3,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,45.65200424194336,0,0,1,1,"[2, 2, 2]"
cmc,ARO-APO,28,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,96.82581925392152,0,0,1,1,"[2, 2, 2]"
cmc,GA,5,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,45.375519037246704,0,0,1,1,"[2, 2, 2]"
cmc,GA,4,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,49.559664487838745,0,0,2,1,"[2, 2, 2]"
cmc,ARO-APO,26,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,110.5422773361206,0,0,2,1,"[2, 2, 2]"
cmc,ARO-APO,27,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,111.12457132339478,0,0,2,1,"[2, 2, 2]"
cmc,ARO-APO,29,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,96.61213493347168,0,0,1,1,"[2, 2, 2]"
cmc,GA,7,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,45.80865049362183,0,0,1,1,"[2, 2, 2]"
cmc,GA,6,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,49.73523497581482,0,0,2,1,"[2, 2, 2]"
cmc,GA,8,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,45.92710471153259,0,0,1,1,"[2, 2, 2]"
cmc,GA,9,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,45.955244302749634,0,0,1,1,"[2, 2, 2]"
cmc,GA,10,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,49.78023552894592,0,0,2,1,"[2, 2, 2]"
cmc,GA,12,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,49.935155153274536,0,0,2,1,"[2, 2, 2]"
cmc,GA,11,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,54.18068504333496,0,0,3,1,"[2, 2, 2]"
cmc,GA,13,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,49.97172689437866,0,0,2,1,"[2, 2, 2]"
cmc,ARO-APO,30,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,129.20115399360657,0,0,4,1,"[2, 2, 2]"
cmc,GA,14,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,53.819313287734985,0,0,3,1,"[2, 2, 2]"
cmc,GA,15,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,50.072447538375854,0,0,2,1,"[2, 2, 2]"
cmc,GA,17,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,46.15960073471069,0,0,1,1,"[2, 2, 2]"
cmc,GA,18,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,45.90070080757141,0,0,1,1,"[2, 2, 2]"
cmc,GA,16,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,62.835524797439575,0,0,5,1,"[2, 2, 2]"
cmc,GA,19,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,45.81762528419495,0,0,1,1,"[2, 2, 2]"
cmc,GA,20,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,46.53963947296143,0,0,1,1,"[2, 2, 2]"
cmc,GA,21,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,45.96620845794678,0,0,1,1,"[2, 2, 2]"
cmc,GA,24,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,45.95363187789917,0,0,1,1,"[2, 2, 2]"
cmc,GA,22,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,54.6205153465271,0,0,3,1,"[2, 2, 2]"
cmc,GA,23,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,63.508774280548096,0,0,5,1,"[2, 2, 2]"
cmc,GA,25,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,51.90639162063599,0,0,2,1,"[2, 2, 2]"
cmc,GA,28,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,51.307565450668335,0,0,2,1,"[2, 2, 2]"
cmc,GA,27,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,59.685935497283936,0,0,4,1,"[2, 2, 2]"
cmc,GA,29,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,55.23163199424744,0,0,3,1,"[2, 2, 2]"
cmc,PSO,1,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,50.61968159675598,0,0,2,1,"[2, 2, 2]"
cmc,GA,30,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,55.67186665534973,0,0,3,1,"[2, 2, 2]"
cmc,GA,26,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,72.27788734436035,0,0,7,1,"[2, 2, 2]"
cmc,PSO,3,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,47.36628842353821,0,0,1,1,"[2, 2, 2]"
cmc,PSO,2,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,47.745569944381714,0,0,1,1,"[2, 2, 2]"
cmc,PSO,5,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,46.06833362579346,0,0,1,1,"[2, 2, 2]"
cmc,PSO,4,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,50.94613265991211,0,0,2,1,"[2, 2, 2]"
cmc,PSO,6,41.60075329566855,0.7777777777777777,0.9593220338983052,0.9728813559322034,46.95391345024109,0,0,1,1,"[2, 3, 2]"
cmc,PSO,8,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,47.907628297805786,0,0,1,1,"[2, 2, 2]"
cmc,PSO,7,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,51.402892112731934,0,0,2,1,"[2, 2, 2]"
cmc,PSO,9,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,51.46195077896118,0,0,2,1,"[2, 2, 2]"
cmc,PSO,10,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,47.577152967453,0,0,1,1,"[2, 2, 2]"
cmc,PSO,11,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,47.18745493888855,0,0,1,1,"[2, 2, 2]"
cmc,PSO,12,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,51.90731143951416,0,0,2,1,"[2, 2, 2]"
cmc,PSO,13,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,59.85061883926392,0,0,4,1,"[2, 2, 2]"
cmc,PSO,14,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,51.47676491737366,0,0,2,1,"[2, 2, 2]"
cmc,PSO,15,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,50.978294134140015,0,0,2,1,"[2, 2, 2]"
cmc,PSO,16,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,51.11491465568543,0,0,2,1,"[2, 2, 2]"
cmc,PSO,17,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,46.54842376708984,0,0,1,1,"[2, 2, 2]"
cmc,PSO,18,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,50.69358229637146,0,0,2,1,"[2, 2, 2]"
cmc,PSO,21,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,46.6827654838562,0,0,1,1,"[2, 2, 2]"
cmc,PSO,20,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,47.38025665283203,0,0,1,1,"[2, 2, 2]"
cmc,PSO,22,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,46.98046970367432,0,0,1,1,"[2, 2, 2]"
cmc,PSO,23,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,45.83662033081055,0,0,1,1,"[2, 2, 2]"
cmc,PSO,19,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,62.722615003585815,0,0,5,1,"[2, 2, 2]"
cmc,PSO,25,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,45.37818932533264,0,0,1,1,"[2, 2, 2]"
cmc,PSO,24,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,48.73029947280884,0,0,2,1,"[2, 2, 2]"
cmc,PSO,27,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,42.35427498817444,0,0,1,1,"[2, 2, 2]"
cmc,PSO,26,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,46.830177307128906,0,0,2,1,"[2, 2, 2]"
cmc,PSO,28,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,41.567190170288086,0,0,1,1,"[2, 2, 2]"
cmc,PSO,30,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,44.10109257698059,0,0,2,1,"[2, 2, 2]"
cmc,PSO,29,36.04519774011299,0.6666666666666666,0.9593220338983052,0.9728813559322034,44.23879098892212,0,0,2,1,"[2, 2, 2]"
mgm,ARO-APO,6,65.78313253012048,0.4,0.8192771084337349,0.5421686746987951,79.03241777420044,0,0,1,1,"[4, 2, 0, 1, 1]"
mgm,ARO-APO,9,65.78313253012048,0.4,0.8192771084337349,0.5421686746987951,82.80309057235718,0,0,1,1,"[4, 2, 0, 1, 1]"
mgm,ARO-APO,5,65.78313253012048,0.4,0.8192771084337349,0.5421686746987951,96.60671162605286,0,0,3,1,"[4, 2, 0, 1, 1]"
mgm,ARO-APO,1,65.78313253012048,0.4,0.8192771084337349,0.5421686746987951,108.46702218055724,0,0,4,1,"[4, 2, 0, 1, 1]"
mgm,ARO-APO,8,65.78313253012048,0.4,0.8192771084337349,0.5421686746987951,109.1081247329712,0,0,4,1,"[4, 2, 0, 1, 1]"
mgm,ARO-APO,10,65.78313253012048,0.4,0.8192771084337349,0.5421686746987951,111.4673068523407,0,0,5,1,"[4, 2, 0, 1, 1]"
